Painting ID,Location,Location Type,Rack,Artist,Title,Height,Width,Depth
1975.20.27,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 26A",Screen, 26A,"Duncan Stuart, American, 1919 - 2001","Concentric One, 1959",44.61,35.63,
1975.20.28,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 41B",Screen, 41B,"Duncan Stuart, American, 1919 - 2001","Bicina II, 20th century",60.0,72.01,
1975.27.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 53A",Screen, 53A,Joseph H. Cox,"Inside Out, 1975",42.01,47.99,
1975.27.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Joseph H. Cox,"Pier Group II, c. 1975",22.01,29.02,
1975.38.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19B",Screen, 19B,"Richard Redgrave, RA","Over the Hill to the Village, 19th century",24.02,40.0,
1975.49.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 11A",Screen, 11A,Robert Nanteuil,"Portrait of M. Louis Le Fevre de Caumartin, 17th century",29.25,23.74,
1975.51.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 27A",Screen, 27A,John Sloan,"Roses and Rock, 1918",15.63,19.49,
1975.53.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Peruvian,"Cloth Fragment, 700–1000 CE",6.26,6.26,
1975.53.10,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Textile Fragment (alternating rows of fish, serpent and bird figure), 1000–1470",15.98,15.0,
1975.53.13,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Chancay,"Cloth fragment; open cell fringe knit weave, with fringe, red, blue and green., 1000–1470 CE",7.99,2.52,
1976.4.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,Russell W. Arnold,"Red Step, n.d.",57.99,57.99,
1976.6.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 20A",Screen, 20A,Henry Ernest Schnakenberg,"South Beach, Staten Island, 1919",30.0,35.98,
1976.8.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 9",Screen, 62F,Bolivian,"Manta, c. 1850",40.98,37.01,
1976.9.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E",Screen, 62E,Dorothy Mike,"Two Grey Hills weaving, 20th century",55.98,30.98,
1976.9.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D",Screen, 62D,Virginia Leonard,"Weaving: Tree of Life, 20th century",45.51,35.51,
1976.9.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Screen, 62T,Navajo,"Weaving: Wide Ruins, 20th century",55.98,40.51,
1976.9.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Screen, 63G,Mary Long,"Weaving: Sand Painting, 20th century",62.01,62.99,
1976.9.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Screen, 62T,Virginia Leonard,"Weaving, 20th century",52.01,52.99,
1976.9.6,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Screen, 63G,Navajo,"Weaving: Burnt Water, 20th century",87.99,52.01,
