1978.53.11,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #4",Peruvian,,Manta
1978.53.28,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 16",Bolivian,,Manta
1978.53.31,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 16",Bolivian,,Manta
1978.53.32,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Bolivian,,Shawl
1978.53.33,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Bolivian,,Shawl
1978.53.34,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63E, Textile Roll # 21",Bolivian,,Sweater
1978.53.43,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 16",Peruvian,,Manta
1978.53.44,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 9",Peruvian,,Manta
1978.53.45,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 10",Peruvian,,Manta
1979.18.4.F,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Peruvian,,Textile Fragment
1979.51.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A","Francisco de Campos, c. 1515-1580 (attributed to)",,"Noli me Tangere from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
1979.51.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A","Francisco de Campos, c. 1515 - 1580 (attributed to)",,"Adoration of the Shepherds from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
1979.51.3,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A","Francisco de Campos, c. 1515 - 1580 (attributed to)",,"Crucifixion from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
1979.64.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63R, Textile Roll 19",Fulani peoples,,"Blanket, 20th century"
1979.71.7,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 45A",John Doyle,,"Sharpshooter 76/Sony Wars from the series Sharpshooters, 1976"
